param_name,param_value,pct_change,delta_front,delta_radial,run_time_s
MAX_SPEED,1.5,-50.0,16.851122471051085,9.391619282769907,8.644783973693848
MAX_SPEED,1.7999999999999998,-40.00000000000001,-0.6498948564699321,16.486270698169847,9.070599555969238
MAX_SPEED,2.0999999999999996,-30.00000000000001,-10.051073396050484,12.412520965192646,8.847280979156494
MAX_SPEED,2.4000000000000004,-19.99999999999999,6.586534454481045,17.86875505704697,8.784404277801514
MAX_SPEED,2.7,-9.999999999999995,2.7866277620729276,16.718193285160012,8.746974229812622
MAX_SPEED,3.0,0.0,11.445997043039688,13.042944511287578,9.047926664352417
MAX_SPEED,3.3000000000000003,10.000000000000009,5.500300104229931,9.675243429431424,8.57732629776001
MAX_SPEED,3.6000000000000005,20.000000000000018,-11.658981418577643,12.08867763258757,8.643266201019287
MAX_SPEED,3.9000000000000004,30.00000000000001,-13.993861700048631,11.001468963395558,8.529603481292725
MAX_SPEED,4.199999999999999,39.99999999999998,-7.446637758523066,10.243553400821822,8.570386171340942
MAX_SPEED,4.5,50.0,9.522094135008423,12.274501193986973,8.603860139846802
SEPARATION_RADIUS,15.0,-50.0,-7.451937558186208,10.580694394265763,8.476287364959717
SEPARATION_RADIUS,18.0,-40.0,2.387628504324402,18.141815413835698,8.563637733459473
SEPARATION_RADIUS,21.0,-30.0,-1.9157014529222913,12.61648892978748,8.530016422271729
SEPARATION_RADIUS,24.0,-20.0,-6.127761781061841,16.067001829111785,8.606562614440918
SEPARATION_RADIUS,27.0,-10.0,4.448270143227666,15.586322830686965,8.594707012176514
SEPARATION_RADIUS,30.0,0.0,-1.8334485996469436,18.212267686044793,8.416960954666138
SEPARATION_RADIUS,33.0,10.0,-6.996714138500542,12.17642822689636,8.688369274139404
SEPARATION_RADIUS,36.00000000000001,20.00000000000002,0.01928897111884171,12.318621353151435,8.446629762649536
SEPARATION_RADIUS,39.0,30.0,11.016687210619898,10.207376139667296,8.65985107421875
SEPARATION_RADIUS,42.0,40.0,1.5623100289279694,15.847850736458865,8.459906339645386
SEPARATION_RADIUS,45.0,50.0,-6.423752972404382,13.415442502915754,8.662403583526611
COHESION_WEIGHT,0.0025,-50.0,-13.459930228625904,15.748960230311834,8.520084381103516
COHESION_WEIGHT,0.003,-40.0,-9.414288247748091,15.342220223422137,8.33219051361084
COHESION_WEIGHT,0.0034999999999999996,-30.00000000000001,-3.822825467473837,16.768569480445375,8.355125665664673
COHESION_WEIGHT,0.004,-20.0,2.133199777603888,18.474206829128647,8.51536250114441
COHESION_WEIGHT,0.0045000000000000005,-9.999999999999993,-3.7897997955999676,15.842384273576508,8.674989938735962
COHESION_WEIGHT,0.005,0.0,-7.865534735655269,15.904948568689642,9.492622137069702
COHESION_WEIGHT,0.0055000000000000005,10.000000000000009,4.128197831179933,13.311431280456715,9.39089298248291
COHESION_WEIGHT,0.006000000000000001,20.000000000000018,8.387303174132148,12.469733056811533,8.818163633346558
COHESION_WEIGHT,0.006500000000000001,30.00000000000001,-0.16234735761555796,14.041268865407863,9.31439471244812
COHESION_WEIGHT,0.006999999999999999,39.999999999999986,3.9199622985814857,14.64501005575727,8.671415567398071
COHESION_WEIGHT,0.0075,49.99999999999999,1.0120196258299958,13.989101902464698,8.653950929641724
